GPS TOW (s),GPS Week,Latitude (deg),Longitude (deg),Ellipsoid Height (m),ECEF X (m),ECEF Y (m),ECEF Z (m),Roll (deg),Pitch (deg),Heading (deg),East Velocity (m/s),North Velocity (m/s),Up Velocity (m/s)
546391,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.312649,2.212456,352.896546,0,0.001,-0.001
546392,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.31104,2.214755,352.895428,0,0.001,-0.001
546393,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.315649,2.21449,352.896604,0.001,0,-0.002
546394,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.321598,2.21421,352.89606,0.001,0.002,-0.002
546395,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.326652,2.214192,352.900119,0.002,0.001,-0.002
546396,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.320544,2.206651,352.901831,0.001,0,-0.003
546397,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.324324,2.208335,352.903588,-0.001,0.002,-0.004
546398,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.323702,2.211371,352.902948,0,0.003,-0.004
546399,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.325964,2.214374,352.901549,0.001,0.004,-0.001
546400,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.324984,2.21226,352.899853,0.002,0.002,-0.003
546401,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.32707,2.212529,352.898127,0.002,0.003,-0.002
546402,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.331085,2.212535,352.896581,0.004,0.003,-0.003
546403,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.331271,2.212754,352.89712,0.003,0.002,-0.003
546404,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.33291,2.212059,352.894102,0.002,0.003,-0.003
546405,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.332551,2.209599,352.895406,0.002,0.002,-0.002
546406,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.333476,2.211175,352.894043,0.001,0.002,-0.003
546407,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.333842,2.208717,352.893832,0.001,0.003,-0.002
546408,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.332202,2.212314,352.89295,0.001,0.003,-0.002
546409,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.332791,2.214243,352.89445,-0,0.002,-0.002
546410,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.332169,2.21499,352.896263,0,0.002,-0.001
546411,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.328431,2.21562,352.897609,-0,0.002,-0
546412,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.332316,2.214776,352.895702,0.001,0.002,-0.002
546413,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.334204,2.214736,352.89842,0.001,0.002,-0.002
546414,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.334228,2.215918,352.899017,0.001,0.002,-0.002
546415,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.333498,2.215967,352.899761,0.001,0.002,-0.002
546416,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.335006,2.216829,352.899085,0,-0,-0.002
546417,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.333744,2.214821,352.902224,0.001,-0.001,-0.003
546418,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.33465,2.21422,352.899928,0.002,-0.001,-0.004
546419,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.331632,2.21139,352.9013,0.002,0,-0.003
546420,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.339681,2.215507,352.898352,0,-0,-0.005
546421,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.335662,2.216583,352.899731,-0,-0.001,-0.003
546422,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.335182,2.21838,352.900726,-0.001,-0.001,-0.002
546423,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.332086,2.215429,352.901255,-0,-0.001,-0.002
546424,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.33522,2.217393,352.90412,-0.001,-0.002,-0.004
546425,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.332932,2.216783,352.903783,0,-0.001,-0.003
546426,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.33475,2.214735,352.903043,-0.001,-0.001,-0.003
546427,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.330143,2.21292,352.903519,-0,-0.001,-0.002
546428,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.332968,2.214413,352.905703,-0,-0,-0.002
546429,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.33133,2.213661,352.908518,-0,0,-0.003
546430,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.3334,2.212573,352.908105,-0,0,-0.004
546431,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.33232,2.209301,352.910883,0.002,0.001,-0.004
546432,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.333727,2.208664,352.907303,0.002,0.002,-0.004
546433,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.334317,2.20856,352.908015,0.003,0.002,-0.005
546434,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.336968,2.209018,352.909626,0.002,0.002,-0.005
546435,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.336463,2.209408,352.909785,0.001,0.003,-0.003
546436,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.336066,2.211127,352.906579,0.002,0.004,-0.004
546437,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.335481,2.213004,352.906437,0.003,0.004,-0.003
546438,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.33983,2.216978,352.907752,0.003,0.004,-0.002
546439,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.333437,2.215162,352.907044,0.004,0.004,-0.003
546440,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.338048,2.21812,352.907679,0.003,0.004,-0.003
546441,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.337433,2.216189,352.909205,0.003,0.004,-0.002
546442,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.336299,2.220039,352.910849,0.003,0.003,-0.002
546443,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.336177,2.219493,352.909902,0.003,0,-0.001
546444,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.34199,2.218444,352.911361,0.001,0,-0.002
546445,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.343548,2.217489,352.91238,0.002,0.001,-0.002
546446,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.340033,2.2177,352.907156,0.002,0.001,-0.001
546447,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.338179,2.219533,352.906085,0.004,0.002,-0.003
546448,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.342049,2.224681,352.904134,0.001,0.003,-0.002
546449,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.339188,2.22019,352.904592,0,0.001,0.001
546450,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.339362,2.219969,352.902686,0.001,0,0.001
546451,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.337999,2.221129,352.902617,0,-0,-0
546452,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.338335,2.219745,352.903501,-0.001,-0,-0.001
546453,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.335469,2.220361,352.904053,-0,-0.001,0
546454,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.334926,2.219397,352.904227,-0.001,-0.001,-0
546455,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.333509,2.22106,352.903411,-0.001,-0.001,0
546456,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.33401,2.218609,352.906101,-0,-0.002,-0
546457,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.33433,2.219048,352.908138,0.001,-0.002,0.001
546458,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.335194,2.217675,352.905266,-0,-0.003,-0
546459,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.332332,2.218244,352.905421,0.001,-0.003,0.002
546460,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.33584,2.218316,352.906142,0.001,-0.003,0.004
546461,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.336302,2.219282,352.906163,0.002,-0.004,0.004
546462,2355,35.16684675,136.885306862,39.881388,-3810401.118939,3567543.578824,3653037.173464,-1.344281,2.335644,352.904502,-0.008,0.09,-0.012
546463,2355,35.166849684,136.885306486,39.879391,-3810400.957505,3567543.474543,3653037.438417,-1.34881,2.524213,352.928894,-0.078,0.672,0.009
546464,2355,35.166858357,136.885305309,39.884994,-3810400.482946,3567543.177232,3653038.228242,-1.302675,2.361081,353.077854,-0.128,1.129,0.006
546465,2355,35.166869626,136.885303803,39.884021,-3810399.862984,3567542.784674,3653039.249696,-1.368977,2.330245,353.317806,-0.146,1.351,0.004
546466,2355,35.166882847,136.885302126,39.878245,-3810399.138383,3567542.315558,3653040.445492,-1.283496,2.230417,353.56671,-0.163,1.557,0.016
546467,2355,35.16689722,136.885300022,39.884513,-3810398.340689,3567541.831281,3653041.752635,-1.191811,1.977554,353.77961,-0.16,1.605,-0.007
546468,2355,35.166910997,136.885298059,39.887207,-3810397.577447,3567541.361686,3653043.003637,-1.143272,1.961242,353.863469,-0.131,1.35,0.002
546469,2355,35.166921917,136.885296835,39.87829,-3810396.986557,3567540.961139,3653043.988925,-0.97973,2.208202,353.897821,-0.116,1.209,-0.001
546470,2355,35.166934512,136.885295416,39.87593,-3810396.309272,3567540.504181,3653045.129832,-1.00024,2.443349,353.951973,-0.148,1.582,0.006
546471,2355,35.166950774,136.885293597,39.883228,-3810395.441808,3567539.918993,3653046.608939,-0.789297,2.66144,353.971839,-0.203,2.085,0.015
546472,2355,35.166972836,136.885291082,39.904826,-3810394.26901,3567539.13481,3653048.622263,-0.652183,2.780307,353.997604,-0.26,2.83,0.025
546473,2355,35.167001793,136.885287737,39.936041,-3810392.728644,3567538.110074,3653051.266466,-0.704869,2.787336,353.949734,-0.332,3.533,0.014
546474,2355,35.167036247,136.88528363,39.964315,-3810390.882602,3567536.894282,3653054.4076,-0.768858,2.462278,353.840768,-0.406,4.143,-0.006
546475,2355,35.167076845,136.885278236,39.987275,-3810388.666757,3567535.492789,3653058.102791,-0.902512,2.565062,353.597041,-0.505,4.88,0.026
546476,2355,35.167123873,136.885271684,40.025619,-3810386.088031,3567533.896089,3653062.390023,-1.049188,2.512144,353.17615,-0.615,5.553,0.019
546477,2355,35.167176481,136.885264035,40.071227,-3810383.18496,3567532.132744,3653067.187559,-1.205673,2.37738,352.982402,-0.7,6.101,0.03
546478,2355,35.167233604,136.885255929,40.089799,-3810380.026804,3567530.187404,3653072.378979,-1.285324,2.503641,352.919924,-0.76,6.529,0.022
546479,2355,35.167293821,136.885247372,40.123168,-3810376.704997,3567528.145297,3653077.8595,-1.18713,2.295018,352.891744,-0.798,6.835,0.003
546480,2355,35.167356571,136.885238113,40.172433,-3810373.230811,3567526.048032,3653083.578992,-0.597224,2.415063,352.841852,-0.829,7.089,0.03
546481,2355,35.167421328,136.885228571,40.219818,-3810369.644316,3567523.880915,3653089.479324,-0.403931,2.641039,352.128482,-0.926,7.264,0.1
546482,2355,35.167487782,136.88521724,40.270425,-3810365.869144,3567521.760508,3653095.535406,0.179122,2.311657,350.488509,-1.161,7.506,0.012
546483,2355,35.167556676,136.885202504,40.282621,-3810361.745259,3567519.738437,3653101.790687,-0.053397,2.579743,348.271067,-1.514,7.76,0.07
546484,2355,35.167627027,136.885184304,40.349436,-3810357.370261,3567517.913646,3653108.20958,-0.53516,2.867463,346.70999,-1.775,7.801,0.17
546485,2355,35.167697582,136.885164286,40.410286,-3810352.868983,3567516.19749,3653114.643553,-0.671447,1.879096,345.991715,-1.894,7.869,0.005
546486,2355,35.167768979,136.885143271,40.395037,-3810348.220933,3567514.468398,3653121.11,-0.629609,1.847441,345.891823,-1.924,7.969,-0.038
546487,2355,35.167841511,136.885121984,40.358534,-3810343.490311,3567512.695867,3653127.667212,-0.982134,2.020343,345.938861,-1.966,8.135,-0.043
546488,2355,35.167915032,136.88510031,40.353615,-3810338.708364,3567510.923564,3653134.332196,-1.858962,1.798566,345.860798,-1.961,8.104,-0.046
546489,2355,35.167986972,136.885078944,40.305103,-3810333.993314,3567509.17543,3653140.828722,-2.076841,1.758797,345.720203,-1.935,7.865,-0.033
546490,2355,35.168056582,136.885057744,40.309774,-3810329.429006,3567507.547709,3653147.144586,-1.844878,2.258301,345.698578,-1.867,7.583,-0.003
546491,2355,35.168123449,136.885037264,40.348652,-3810325.05783,3567506.011096,3653153.231355,-2.11303,1.995017,345.694993,-1.798,7.315,-0.004
546492,2355,35.168188994,136.885017182,40.361366,-3810320.757549,3567504.491007,3653159.183203,-1.991693,2.341158,345.663433,-1.793,7.263,0.016
546493,2355,35.168254339,136.884997429,40.391066,-3810316.497197,3567502.967369,3653165.126601,-1.939754,1.986868,345.541436,-1.809,7.234,-0.028
546494,2355,35.168319632,136.884976653,40.412624,-3810312.170715,3567501.509395,3653171.060667,-2.061998,2.123197,344.612096,-1.932,7.264,0.035
546495,2355,35.168385222,136.884954176,40.422576,-3810307.717563,3567500.145089,3653177.01494,-2.299492,2.272832,343.659189,-2.088,7.302,0.028
546496,2355,35.168451204,136.88493089,40.442069,-3810303.201356,3567498.82282,3653183.010314,-2.461519,2.275962,343.300893,-2.155,7.339,0.013
546497,2355,35.168517696,136.884907325,40.464795,-3810298.646018,3567497.498597,3653189.053721,-2.212312,2.062274,343.832952,-2.122,7.457,0.005
546498,2355,35.168586085,136.884884662,40.462548,-3810294.043392,3567496.017604,3653195.254817,-2.303705,2.296662,345.130133,-2.002,7.716,0.012
546499,2355,35.168656736,136.884862814,40.492318,-3810289.405094,3567494.401515,3653201.679478,-1.711535,2.073929,345.528018,-2.006,7.97,0.007
546500,2355,35.16872978,136.884840647,40.483114,-3810284.612115,3567492.680285,3653208.298698,-1.844844,2.186998,345.784111,-2.03,8.219,0.023
546501,2355,35.168804602,136.884818154,40.501775,-3810279.732408,3567490.918699,3653215.095271,-2.109303,2.10993,345.764618,-2.075,8.377,0.012
546502,2355,35.168880638,136.88479473,40.533264,-3810274.74584,3567489.17311,3653222.009288,-2.176449,2.181722,345.648283,-2.122,8.51,0.03
546503,2355,35.168957826,136.884770783,40.567773,-3810269.674707,3567487.413714,3653229.02953,-1.770983,2.41314,345.318905,-2.201,8.642,0.034
546504,2355,35.169036213,136.884745468,40.624825,-3810264.475978,3567485.705451,3653236.17148,-1.362979,1.964339,344.814617,-2.326,8.775,0.044
546505,2355,35.169115783,136.884719307,40.601211,-3810259.12121,3567483.956756,3653243.374235,-1.865082,1.744431,344.961634,-2.36,8.908,-0.104
546506,2355,35.169196334,136.88469323,40.575513,-3810253.724687,3567482.158408,3653250.66477,-2.054361,1.970296,345.255275,-2.317,8.993,-0.019
546507,2355,35.169277142,136.884667315,40.598347,-3810248.355181,3567480.365208,3653258.006556,-2.231363,2.344564,345.0734,-2.336,8.938,0.053
546508,2355,35.169357262,136.884641833,40.681912,-3810243.080978,3567478.607179,3653265.320908,-1.059615,2.431589,345.01454,-2.312,8.85,0.092
546509,2355,35.169437301,136.884615959,40.704329,-3810237.749675,3567476.844527,3653272.592716,-1.337252,1.821177,345.069975,-2.345,8.961,-0.067
546510,2355,35.169518678,136.884589912,40.717563,-3810232.339603,3567475.029865,3653279.980608,-1.734367,2.134773,345.337667,-2.336,9.105,0.053
546511,2355,35.16960145,136.884564402,40.709704,-3810226.885419,3567473.106778,3653287.482724,-1.62741,2.020457,345.497901,-2.337,9.253,-0.033
546512,2355,35.169684856,136.884538725,40.72669,-3810221.406044,3567471.180889,3653295.056768,-1.524096,2.240939,345.455132,-2.338,9.245,0.001
546513,2355,35.169767569,136.884513301,40.757027,-3810215.982703,3567469.275942,3653302.5756,-1.37094,2.087811,345.512477,-2.277,9.058,-0.022
546514,2355,35.169848992,136.884488526,40.775774,-3810210.653067,3567467.377661,3653309.970747,-1.073305,2.326086,345.565135,-2.255,9.048,0.035
546515,2355,35.169930851,136.884463422,40.812831,-3810205.293435,3567465.492517,3653317.41599,-0.850403,1.98454,345.184139,-2.341,9.126,0.003
546516,2355,35.170013608,136.884437023,40.808127,-3810199.786425,3567463.630804,3653324.918657,-1.277107,2.008423,344.588965,-2.463,9.233,-0.002
546517,2355,35.170097224,136.884409375,40.819507,-3810194.171127,3567461.823705,3653332.508432,-0.808647,2.446612,344.101459,-2.562,9.302,0.037
546518,2355,35.170181169,136.884380811,40.841187,-3810188.489638,3567460.068858,3653340.133953,-1.416073,1.960783,343.919475,-2.615,9.329,-0.033
546519,2355,35.170265387,136.88435242,40.842613,-3810182.794107,3567458.279277,3653347.772521,-1.672263,1.883399,344.542994,-2.523,9.378,-0.02
546520,2355,35.170349134,136.884325479,40.84006,-3810177.208376,3567456.41157,3653355.366189,-1.572337,2.297286,344.880079,-2.389,9.141,0.021
546521,2355,35.170430344,136.884299266,40.879975,-3810171.811743,3567454.629996,3653362.75412,-1.533383,1.964266,344.675323,-2.35,8.909,0
546522,2355,35.170509487,136.884272431,40.897115,-3810166.459147,3567452.967277,3653369.941585,-1.510863,2.08962,343.200312,-2.491,8.628,0.038
546523,2355,35.170586234,136.884243377,40.910219,-3810161.07777,3567451.554592,3653376.909319,-1.029601,1.943798,340.579587,-2.839,8.429,-0.011
546524,2355,35.17066145,136.88420891,40.914259,-3810155.425345,3567450.563614,3653383.733049,-0.674267,2.132821,336.868104,-3.376,8.273,0.006
546525,2355,35.17073458,136.884167974,40.94341,-3810149.482396,3567450.10801,3653390.382033,-0.466271,1.670164,332.232767,-4.013,7.933,0.006
546526,2355,35.170804055,136.884121532,40.934735,-3810143.344635,3567450.156953,3653396.677758,-0.883626,2.566626,329.223751,-4.329,7.505,0.036
546527,2355,35.170871102,136.884073559,40.973749,-3810137.253197,3567450.440511,3653402.780706,-0.447704,1.954729,329.132488,-4.353,7.438,-0.008
546528,2355,35.170938564,136.884026156,41.001613,-3810131.171288,3567450.661749,3653408.91485,-1.161136,2.164478,330.528694,-4.217,7.575,0.044
546529,2355,35.17100782,136.883981061,41.031102,-3810125.150334,3567450.651998,3653415.212694,-1.634419,1.747063,332.866395,-3.947,7.845,-0.033
546530,2355,35.171079574,136.883938535,41.021336,-3810119.149423,3567450.340335,3653421.71444,-1.823611,2.329273,334.85151,-3.74,8.126,0.005
546531,2355,35.171153754,136.883898394,41.041944,-3810113.201862,3567449.781176,3653428.453686,-1.365203,2.461196,336.524326,-3.527,8.335,0.028
546532,2355,35.171229288,136.883860025,41.06579,-3810107.303515,3567449.046714,3653435.317578,-1.461102,2.370614,337.253353,-3.445,8.435,-0.031
546533,2355,35.17130593,136.883823345,41.092698,-3810101.460359,3567448.153366,3653442.2837,-1.546905,2.042212,338.992547,-3.216,8.588,0.041
546534,2355,35.171384175,136.883789524,41.112784,-3810095.716412,3567446.99598,3653449.391283,-1.144192,2.545201,340.846194,-2.957,8.773,-0.037
546535,2355,35.17146371,136.883757495,41.167144,-3810090.044289,3567445.682169,3653456.635662,-1.251244,2.483798,341.692673,-2.84,8.896,0.093
546536,2355,35.171544544,136.883726342,41.185931,-3810084.344885,3567444.233546,3653463.977277,-0.836237,2.572311,341.814209,-2.835,9.042,0.02
546537,2355,35.171626336,136.883694922,41.232335,-3810078.600659,3567442.77625,3653471.421654,-0.982851,2.073356,341.706248,-2.9,9.127,-0.055
546538,2355,35.171708896,136.883662499,41.215424,-3810072.72035,3567441.316744,3653478.8992,-1.076635,2.13356,341.093295,-3.007,9.17,-0.047
546539,2355,35.171791108,136.883628922,41.272287,-3810066.828463,3567439.990355,3653486.387677,-0.580075,2.739033,339.937758,-3.146,9.035,0.115
546540,2355,35.171871451,136.88359225,41.375619,-3810060.858785,3567438.977352,3653493.733423,-0.594636,2.363616,337.428611,-3.502,8.834,0.069
546541,2355,35.171950343,136.883551215,41.427996,-3810054.654694,3567438.289395,3653500.918244,-0.413961,2.406252,334.261232,-3.992,8.657,0.064
546542,2355,35.172027422,136.883504504,41.469617,-3810048.175383,3567438.052001,3653507.932454,-0.723367,2.387834,330.991137,-4.507,8.448,0.041
546543,2355,35.172102238,136.883452495,41.541993,-3810041.49015,3567438.282948,3653514.759093,-1.486909,2.185461,328.685527,-4.852,8.196,0.035
546544,2355,35.1721752,136.883398487,41.567591,-3810034.738984,3567438.701669,3653521.390675,-1.525178,2.016679,328.163183,-4.864,8.033,-0.001
546545,2355,35.172246427,136.88334587,41.577468,-3810028.145949,3567439.094895,3653527.855866,-1.567285,2.050246,328.651009,-4.653,7.811,-0.003
546546,2355,35.172314975,136.883296446,41.605108,-3810021.887356,3567439.402703,3653534.088285,-1.319751,1.657558,329.317314,-4.144,7.154,0.009
546547,2355,35.172371072,136.883256861,41.623429,-3810016.81659,3567439.59493,3653539.186199,-1.321332,1.872804,329.838731,-2.998,5.317,0.019
546548,2355,35.172411956,136.883228798,41.655534,-3810013.181201,3567439.693138,3653542.912389,-0.980274,1.652329,330.398756,-2.122,3.87,-0.002
546549,2355,35.172443862,136.883207399,41.659581,-3810010.362763,3567439.724712,3653545.808257,-0.667697,2.276205,331.520958,-1.869,3.562,-0.051
546550,2355,35.172477831,136.88318616,41.681953,-3810007.469022,3567439.665774,3653548.901721,-0.414868,2.170279,333.940442,-1.833,3.854,-0.013
546551,2355,35.172514459,136.883166692,41.680377,-3810004.547207,3567439.359525,3653552.222552,-0.396922,2.207043,338.461131,-1.711,4.416,-0.013
546552,2355,35.172557343,136.883149335,41.673575,-3810001.461884,3567438.636658,3653556.107748,0.124146,2.175253,343.84389,-1.393,4.965,-0.038
546553,2355,35.172603377,136.883134882,41.698339,-3809998.429234,3567437.600816,3653560.296727,-0.565569,2.37347,346.767865,-1.194,5.26,0.002
546554,2355,35.172650328,136.883121797,41.725143,-3809995.440251,3567436.43499,3653564.570078,-1.07219,2.12016,346.091348,-1.188,5.081,0.002
546555,2355,35.172694544,136.883107856,41.751604,-3809992.525284,3567435.445391,3653568.595238,-0.890597,1.999967,343.841788,-1.306,4.767,0.027
546556,2355,35.172736404,136.883092487,41.749127,-3809989.614038,3567434.637588,3653572.389978,-0.720113,2.123834,341.525205,-1.455,4.619,-0.001
546557,2355,35.17277854,136.883074732,41.759902,-3809986.549363,3567433.983681,3653576.217383,-0.656219,2.608631,339.414949,-1.714,4.766,0.019
546558,2355,35.172820992,136.883054802,41.806461,-3809983.355752,3567433.480667,3653580.094106,-0.431958,1.959413,337.552974,-1.832,4.594,0.015
546559,2355,35.172861455,136.883034037,41.810428,-3809980.177604,3567433.096138,3653583.765951,-0.130097,1.848997,335.745503,-1.918,4.472,-0.045
546560,2355,35.172902994,136.883010823,41.788206,-3809976.78113,3567432.812926,3653587.520206,-0.892202,2.419568,334.267799,-2.25,4.781,0.069
546561,2355,35.172947244,136.882984645,41.815988,-3809973.103431,3567432.636331,3653591.549154,-1.134135,2.296518,333.516782,-2.441,5.06,0.008
546562,2355,35.172993891,136.882956572,41.8206,-3809969.182109,3567432.468076,3653595.782132,-0.903936,2.4001,333.482485,-2.578,5.333,0.03
546563,2355,35.173043046,136.882927531,41.836976,-3809965.090624,3567432.261147,3653600.24929,-0.546951,2.053534,333.808088,-2.677,5.594,0.086
546564,2355,35.17309448,136.882897,41.842045,-3809960.793169,3567432.047525,3653604.916647,-0.595266,2.388405,333.661185,-2.812,5.837,0.002
546565,2355,35.173147879,136.88286546,41.848369,-3809956.34202,3567431.815789,3653609.762938,-0.971366,1.733777,333.459314,-2.887,5.96,0.005
546566,2355,35.173200235,136.882834114,41.862313,-3809951.956216,3567431.620928,3653614.518996,-1.722992,1.698987,333.390452,-2.769,5.669,0.094
546567,2355,35.173250086,136.882803959,41.833569,-3809947.73583,3567431.432514,3653619.023345,-2.078255,2.352905,334.009845,-2.628,5.448,-0.067
546568,2355,35.173298171,136.882776361,41.843573,-3809943.780247,3567431.172783,3653623.389833,-1.180764,1.97118,335.653271,-2.329,5.294,-0.036
546569,2355,35.173342328,136.882752817,41.839561,-3809940.251964,3567430.807286,3653627.391959,-1.4484,1.786497,336.531994,-1.867,4.47,-0.041
546570,2355,35.173377482,136.882734685,41.844092,-3809937.48569,3567430.479916,3653630.582642,-1.586538,2.183464,336.968695,-1.371,3.341,0.006
546571,2355,35.173401311,136.882722277,41.87986,-3809935.622858,3567430.284073,3653632.764196,-1.467568,1.930003,337.062379,-0.824,2.049,0.003
546572,2355,35.173416205,136.882714507,41.895393,-3809934.453469,3567430.15887,3653634.123844,-1.031387,1.961159,337.148807,-0.502,1.28,-0.004
546573,2355,35.173423758,136.882710508,41.898841,-3809933.854155,3567430.096768,3653634.810829,-1.00484,2.165188,337.215655,-0.163,0.457,0.002
546574,2355,35.173424844,136.882709894,41.903428,-3809933.768066,3567430.092704,3653634.911905,-0.986192,2.323121,337.232259,0.015,0.022,-0.001
546575,2355,35.173424844,136.882709894,41.903428,-3809933.768066,3567430.092704,3653634.911905,-0.988131,2.301358,337.232552,0.017,0.012,-0.005
